Group,Skill
Administration - Clerical,Accounts Payable
Administration - Clerical,Accounts Receivable
Administration - Clerical,Bank Reconciliation
Administration - Clerical,Banking / Insurance Services
Administration - Clerical,Database (e.g. Access)
Administration - Clerical,Desktop Publishing (e.g. Pagemaker)
Administration - Clerical,Dictaphone / Audio Typing
Administration - Clerical,Financial Reports Preparation
Administration - Clerical,General Ledger
Administration - Clerical,Invoicing
Administration - Clerical,Minute Taking
Administration - Clerical,MYOB
Administration - Clerical,Payroll
Administration - Clerical,Payroll (Computerized)
Administration - Clerical,Payroll (Manual)
Administration - Clerical,Petty Cash
Administration - Clerical,Purchasing
Administration - Clerical,Spreadsheets (e.g. Excel)
Administration - Clerical,Switchboard - 5 to 10 lines
Administration - Clerical,Switchboard - over 10 lines
Administration - Clerical,Switchboard - phone
Administration - Clerical,Word Processing (e.g. MS Word)
Hospitality,Commercial Cooking
Hospitality,Commercial Cooking/preparation
Hospitality,Commercial Food Preparation
Hospitality,Drink Service
Hospitality,Espresso / Cappuccino Machine
Hospitality,Food Processing - Meat etc.
Hospitality,Food Service
Hospitality,Housekeeping
Hospitality,Point of Sale - Cash Handling
Hospitality,Reservation/Bookings
Hospitality,Tour Guiding
Information Technology,CAD (e.g. Autocad)
Information Technology,Graphics Software - Photoshop etc.
Information Technology,Hardware Installation
Information Technology,Help Desk Support
Information Technology,Internet / E-Mail
Information Technology,Networking
Information Technology,Networking - Data Cabling
Information Technology,Networking - Novel / other
Information Technology,Networking - Windows NT
Information Technology,Operating Systems - Unix / Linux
Information Technology,Programming
Information Technology,Programming - C / C++
Information Technology,Software Installation
Information Technology,Troubleshooting
Information Technology,Web Page Design
Labouring - Process Work,Assembly Line
Labouring - Process Work,Bending / Stretching
Labouring - Process Work,Car Detailing
Labouring - Process Work,Cleaning of equipment/machinery
Labouring - Process Work,Commercial Cleaning
Labouring - Process Work,Computerised Inventory Systems
Labouring - Process Work,Delivery / Dispatch
Labouring - Process Work,Furniture Removal
